Algorithm,Board Size,Best Run (# Moves),Worst Run (# Moves),Average Run (# Moves),Best Time (s),Worst Time (s),Average Time (s)
Steepest Hill,4,2,5,3.0,0.0002219676971435547,0.0004942417144775391,0.00030112266540527344
Steepest Hill,8,3,64,57.9,0.0017580986022949219,0.03803682327270508,0.03405404090881348
Steepest Hill,20,9,400,360.9,0.0769658088684082,3.4968271255493164,3.098693060874939
Steepest Hill,30,14,900,635.1,0.39922475814819336,25.829905033111572,18.09726712703705
Steepest Hill,50,31,2500,2253.1,4.075005054473877,327.6363730430603,295.42992243766787
Stochastic Hill,4,2,5,2.6,0.0005080699920654297,0.0005240440368652344,0.00029585361480712893
Stochastic Hill,8,6,43,16.8,0.0038330554962158203,0.027196884155273438,0.010643410682678222
Stochastic Hill,20,12,113,35.9,0.10245203971862793,0.9646339416503906,0.30710749626159667
Stochastic Hill,30,17,104,35.7,0.48855090141296387,2.9610869884490967,1.0182075262069703
Stochastic Hill,50,28,64,43.1,3.7119550704956055,8.414623975753784,5.689429759979248
Stochastic Hill 2,4,2,4,2.9,0.00019693374633789062,0.0003781318664550781,0.0002839088439941406
Stochastic Hill 2,8,3,64,16.6,0.0017731189727783203,0.04005908966064453,0.010089778900146484
Stochastic Hill 2,20,15,75,32.2,0.12760615348815918,0.635422945022583,0.2739354133605957
Stochastic Hill 2,30,16,68,33.8,0.45615410804748535,1.9342689514160156,0.9644157409667968
Stochastic Hill 2,50,30,66,42.2,3.9278531074523926,8.608810901641846,5.5548807144165036
